id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,BB84,1024,0.0743822,0.494141,0.0537109,IRA
2,BB84,4096,0.0568354,0.488525,0.0427246,IRA
3,BB84,64,0.0456687,0.453125,0.03125,IRA
4,BB84,256,0.0480205,0.5,0.03125,IRA
5,BB84,256,0.0106336,0.507812,0.00390625,IRA
6,BB84,1024,0.0378561,0.492188,0.0292969,IRA
7,BB84,4096,0.068122,0.492188,0.0478516,IRA
8,BB84,512,0.0437294,0.511719,0.0351562,IRA
9,BB84,2048,0.0245487,0.525391,0.015625,IRA
10,BB84,512,0.0551575,0.498047,0.0390625,IRA
11,BB84,1024,0.0980755,0.536133,0.0820312,IRA
12,BB84,1024,0.0346366,0.495117,0.0253906,IRA
13,BB84,256,0.043225,0.488281,0.0390625,IRA
14,BB84,64,0.0556806,0.484375,0.046875,IRA
15,BB84,2048,0.0982094,0.483887,0.0761719,IRA
16,BB84,256,0.0762703,0.480469,0.0859375,IRA
17,BB84,512,0.0980428,0.486328,0.0722656,IRA
18,BB84,512,0.0936664,0.490234,0.078125,IRA
19,BB84,4096,0.0961113,0.507812,0.0742188,IRA
20,BB84,64,0.0252732,0.375,0.03125,IRA
21,BB84,2048,0.0406157,0.478027,0.0327148,IRA
22,BB84,2048,0.0768295,0.506348,0.0639648,IRA
23,BB84,4096,0.0427532,0.51123,0.0324707,IRA
24,BB84,4096,0.0479763,0.507324,0.032959,IRA
25,BB84,4096,0.0979911,0.508301,0.0749512,IRA
26,BB84,64,0.0464784,0.546875,0.0625,IRA
27,BB84,64,0.0336415,0.515625,0.046875,IRA
28,BB84,128,0.0659003,0.507812,0.0625,IRA
29,BB84,64,0.0537859,0.4375,0.0625,IRA
30,BB84,256,0.0369893,0.476562,0.0234375,IRA
31,BB84,64,0.0743396,0.453125,0.078125,IRA
32,BB84,512,0.0916259,0.472656,0.0722656,IRA
33,BB84,2048,0.0516564,0.5,0.0336914,IRA
34,BB84,4096,0.0663922,0.49292,0.0561523,IRA
35,BB84,256,0.0245888,0.488281,0.0078125,IRA
36,BB84,2048,0.0927654,0.492188,0.0771484,IRA
37,BB84,512,0.0342205,0.490234,0.0195312,IRA
38,BB84,1024,0.0170525,0.521484,0.00683594,IRA
39,BB84,1024,0.0583096,0.506836,0.0488281,IRA
40,BB84,64,0.0616956,0.53125,0.015625,IRA
41,BB84,512,0.086804,0.503906,0.0605469,IRA
42,BB84,128,0.062639,0.5,0.046875,IRA
43,BB84,4096,0.060832,0.505127,0.0437012,IRA
44,BB84,256,0.0800106,0.511719,0.0507812,IRA
45,BB84,512,0.0419925,0.548828,0.0332031,IRA
46,BB84,128,0.0914059,0.507812,0.0625,IRA
47,BB84,64,0.015827,0.5625,0.015625,IRA
48,BB84,256,0.0422748,0.503906,0.0234375,IRA
49,BB84,2048,0.030439,0.500488,0.0292969,IRA
50,BB84,512,0.0283389,0.474609,0.0292969,IRA
51,BB84,128,0.0958175,0.5,0.0703125,IRA
52,BB84,256,0.0162114,0.484375,0.0234375,IRA
53,BB84,64,0.0817491,0.421875,0.0625,IRA
54,BB84,4096,0.0435681,0.510254,0.0332031,IRA
55,BB84,256,0.0550576,0.511719,0.0351562,IRA
56,BB84,64,0.0285149,0.484375,0,IRA
57,BB84,4096,0.0410131,0.498779,0.0253906,IRA
58,BB84,128,0.0781826,0.5,0.0625,IRA
59,BB84,256,0.0367144,0.488281,0.0234375,IRA
60,BB84,1024,0.0700594,0.510742,0.0644531,IRA
61,BB84,2048,0.0159048,0.501465,0.0151367,IRA
62,BB84,128,0.0810203,0.507812,0.0546875,IRA
63,BB84,64,0.0628446,0.484375,0.09375,IRA
64,BB84,4096,0.0465095,0.505127,0.0307617,IRA
65,BB84,64,0.0501713,0.53125,0.0625,IRA
66,BB84,128,0.0438773,0.515625,0.0234375,IRA
67,BB84,64,0.0696081,0.5,0.0625,IRA
68,BB84,4096,0.0846191,0.500488,0.0605469,IRA
69,BB84,4096,0.010945,0.491211,0.00830078,IRA
70,BB84,256,0.0287454,0.488281,0.03125,IRA
71,BB84,128,0.0496385,0.492188,0.0546875,IRA
72,BB84,4096,0.074899,0.497314,0.0532227,IRA
73,BB84,64,0.070437,0.421875,0.015625,IRA
74,BB84,2048,0.0135883,0.498535,0.00878906,IRA
75,BB84,256,0.0524032,0.5,0.0507812,IRA
76,BB84,128,0.0383987,0.492188,0.0234375,IRA
77,BB84,1024,0.0159608,0.470703,0.0185547,IRA
78,BB84,256,0.0249388,0.503906,0.03125,IRA
79,BB84,2048,0.0698808,0.48584,0.0537109,IRA
80,BB84,64,0.0386442,0.546875,0.015625,IRA
81,BB84,1024,0.0135219,0.523438,0.00683594,IRA
82,BB84,2048,0.0311441,0.512207,0.0175781,IRA
83,BB84,512,0.0271216,0.492188,0.0136719,IRA
84,BB84,256,0.0670517,0.449219,0.0546875,IRA
85,BB84,1024,0.0582037,0.505859,0.03125,IRA
86,BB84,1024,0.0145228,0.510742,0.0117188,IRA
87,BB84,64,0.0241169,0.53125,0,IRA
88,BB84,4096,0.032115,0.490479,0.0202637,IRA
89,BB84,64,0.0734299,0.46875,0.078125,IRA
90,BB84,4096,0.0390088,0.482666,0.0253906,IRA
91,BB84,64,0.0175544,0.46875,0.03125,IRA
92,BB84,2048,0.0131488,0.499023,0.00878906,IRA
93,BB84,4096,0.0383829,0.509277,0.0319824,IRA
94,BB84,256,0.0251052,0.511719,0.0234375,IRA
95,BB84,1024,0.0818896,0.521484,0.0585938,IRA
96,BB84,512,0.0793757,0.507812,0.0546875,IRA
97,BB84,1024,0.0172645,0.496094,0.0117188,IRA
98,BB84,4096,0.0261219,0.51001,0.0192871,IRA
99,BB84,64,0.0791212,0.46875,0.046875,IRA
100,BB84,512,0.0224303,0.515625,0.0117188,IRA
101,BB84,1024,0.0133103,0.487305,0.00976562,IRA
102,BB84,1024,0.0599699,0.474609,0.0439453,IRA
103,BB84,1024,0.0578216,0.487305,0.0429688,IRA
104,BB84,256,0.0721474,0.480469,0.0898438,IRA
105,BB84,64,0.0163034,0.453125,0.015625,IRA
106,BB84,128,0.0919742,0.421875,0.0625,IRA
107,BB84,1024,0.0813081,0.511719,0.0605469,IRA
108,BB84,64,0.0481498,0.578125,0.046875,IRA
109,BB84,4096,0.0898582,0.508545,0.0700684,IRA
110,BB84,4096,0.0916913,0.50708,0.0683594,IRA
111,BB84,128,0.0444654,0.445312,0.046875,IRA
112,BB84,256,0.0258409,0.460938,0.0234375,IRA
113,BB84,4096,0.02186,0.486816,0.0158691,IRA
114,BB84,1024,0.0308174,0.495117,0.0292969,IRA
115,BB84,4096,0.0456773,0.513184,0.0327148,IRA
116,BB84,2048,0.0194998,0.52002,0.0136719,IRA
117,BB84,512,0.0472007,0.519531,0.0429688,IRA
118,BB84,64,0.0808358,0.515625,0.046875,IRA
119,BB84,2048,0.0931613,0.491211,0.0742188,IRA
120,BB84,64,0.0382305,0.484375,0.03125,IRA
121,BB84,4096,0.0626512,0.499023,0.0490723,IRA
122,BB84,256,0.0459596,0.480469,0.0195312,IRA
123,BB84,128,0.097112,0.5625,0.078125,IRA
124,BB84,1024,0.0715078,0.482422,0.0566406,IRA
125,BB84,2048,0.0625941,0.510742,0.0415039,IRA
126,BB84,512,0.0211949,0.466797,0.015625,IRA
127,BB84,128,0.050865,0.546875,0.046875,IRA
128,BB84,64,0.0355042,0.453125,0.015625,IRA
129,BB84,128,0.0398037,0.367188,0.046875,IRA
130,BB84,4096,0.0801391,0.503418,0.0610352,IRA
131,BB84,4096,0.0663601,0.493164,0.0527344,IRA
132,BB84,256,0.0494695,0.539062,0.0351562,IRA
133,BB84,1024,0.0731044,0.496094,0.0517578,IRA
134,BB84,128,0.0915328,0.414062,0.0625,IRA
135,BB84,256,0.0201567,0.449219,0.0234375,IRA
136,BB84,512,0.0339135,0.490234,0.0136719,IRA
137,BB84,512,0.0144141,0.513672,0.00585938,IRA
138,BB84,256,0.062753,0.542969,0.0234375,IRA
139,BB84,256,0.0732,0.53125,0.0664062,IRA
140,BB84,4096,0.0378026,0.497559,0.0283203,IRA
141,BB84,128,0.0497358,0.421875,0.015625,IRA
142,BB84,128,0.0205828,0.492188,0.03125,IRA
143,BB84,128,0.0996931,0.539062,0.101562,IRA
144,BB84,64,0.0293448,0.46875,0.03125,IRA
145,BB84,2048,0.0911294,0.486816,0.0654297,IRA
146,BB84,128,0.0579192,0.523438,0.0546875,IRA
147,BB84,1024,0.0797236,0.525391,0.0517578,IRA
148,BB84,1024,0.0252649,0.49707,0.0166016,IRA
149,BB84,256,0.0640029,0.535156,0.03125,IRA
150,BB84,256,0.0287273,0.5625,0.0234375,IRA
151,BB84,512,0.0965311,0.488281,0.0683594,IRA
152,BB84,256,0.0532317,0.550781,0.0390625,IRA
153,BB84,1024,0.0678258,0.501953,0.0546875,IRA
154,BB84,128,0.0509441,0.5,0.015625,IRA
155,BB84,1024,0.0642546,0.513672,0.0537109,IRA
156,BB84,1024,0.0213335,0.515625,0.0175781,IRA
157,BB84,1024,0.0832094,0.504883,0.0654297,IRA
158,BB84,512,0.082489,0.517578,0.0703125,IRA
159,BB84,512,0.0386739,0.550781,0.0195312,IRA
160,BB84,512,0.0796812,0.466797,0.046875,IRA
161,BB84,512,0.0708841,0.466797,0.0449219,IRA
162,BB84,128,0.0645867,0.421875,0.03125,IRA
163,BB84,1024,0.0828056,0.516602,0.0722656,IRA
