id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,B92,64,0.265401,0.625,0.09375,IRA
2,B92,64,0.291798,0.4375,0.046875,IRA
3,B92,64,0.302801,0.4375,0.015625,IRA
4,B92,64,0.303873,0.546875,0.0625,IRA
5,B92,1024,0.265062,0.496094,0.0117188,IRA
6,B92,4096,0.276512,0.500977,0.026123,IRA
7,B92,256,0.304547,0.53125,0.0664062,IRA
8,B92,256,0.306505,0.46875,0.0585938,IRA
9,B92,1024,0.288015,0.498047,0.0429688,IRA
10,B92,2048,0.28912,0.500977,0.0361328,IRA
11,B92,64,0.316923,0.40625,0.015625,IRA
12,B92,4096,0.259493,0.500244,0.00756836,IRA
13,B92,128,0.300682,0.492188,0.0625,IRA
14,B92,128,0.280888,0.515625,0.015625,IRA
15,B92,2048,0.284293,0.507812,0.0424805,IRA
16,B92,64,0.211417,0.625,0.015625,IRA
17,B92,128,0.267134,0.578125,0.0546875,IRA
18,B92,2048,0.27742,0.509277,0.0244141,IRA
19,B92,1024,0.310815,0.517578,0.0742188,IRA
20,B92,4096,0.306332,0.501953,0.0578613,IRA
21,B92,128,0.338214,0.421875,0.0703125,IRA
22,B92,1024,0.262207,0.522461,0.0283203,IRA
23,B92,256,0.284969,0.535156,0.0390625,IRA
24,B92,64,0.244011,0.53125,0,IRA
25,B92,1024,0.260656,0.513672,0.0117188,IRA
26,B92,4096,0.272071,0.497803,0.0166016,IRA
27,B92,64,0.246915,0.5625,0.015625,IRA
28,B92,4096,0.261257,0.492432,0.00683594,IRA
29,B92,4096,0.268043,0.501953,0.017334,IRA
30,B92,256,0.326225,0.445312,0.046875,IRA
31,B92,256,0.333902,0.429688,0.0351562,IRA
32,B92,512,0.269583,0.507812,0.0351562,IRA
33,B92,2048,0.310423,0.498535,0.0605469,IRA
34,B92,4096,0.277183,0.494385,0.0239258,IRA
35,B92,256,0.334205,0.449219,0.0625,IRA
36,B92,512,0.251028,0.529297,0.0136719,IRA
37,B92,64,0.294652,0.5,0.046875,IRA
38,B92,256,0.274399,0.558594,0.0546875,IRA
39,B92,4096,0.31793,0.50293,0.0678711,IRA
40,B92,64,0.325666,0.4375,0.046875,IRA
41,B92,1024,0.263641,0.495117,0.00976562,IRA
42,B92,256,0.321038,0.460938,0.078125,IRA
43,B92,256,0.263792,0.542969,0.015625,IRA
44,B92,64,0.27463,0.515625,0.03125,IRA
45,B92,4096,0.31317,0.506348,0.0742188,IRA
46,B92,512,0.275017,0.511719,0.0390625,IRA
47,B92,1024,0.307768,0.481445,0.0498047,IRA
48,B92,4096,0.30763,0.499756,0.0622559,IRA
49,B92,1024,0.293316,0.510742,0.0449219,IRA
50,B92,512,0.316078,0.476562,0.0546875,IRA
51,B92,128,0.264865,0.507812,0.015625,IRA
52,B92,256,0.294707,0.519531,0.0664062,IRA
53,B92,1024,0.282654,0.540039,0.0419922,IRA
54,B92,128,0.293697,0.515625,0.0625,IRA
55,B92,128,0.326752,0.492188,0.0390625,IRA
56,B92,128,0.331084,0.484375,0.078125,IRA
57,B92,2048,0.310458,0.499512,0.065918,IRA
58,B92,4096,0.298026,0.50708,0.0585938,IRA
59,B92,64,0.293308,0.453125,0.046875,IRA
60,B92,128,0.311766,0.5,0.046875,IRA
61,B92,512,0.29777,0.505859,0.0546875,IRA
62,B92,256,0.295462,0.515625,0.0625,IRA
63,B92,64,0.296685,0.484375,0.03125,IRA
64,B92,256,0.316625,0.480469,0.0390625,IRA
65,B92,128,0.276474,0.554688,0.0546875,IRA
66,B92,4096,0.260982,0.505371,0.0126953,IRA
67,B92,512,0.257422,0.509766,0.00976562,IRA
68,B92,128,0.300568,0.46875,0.0625,IRA
69,B92,4096,0.263871,0.491699,0.0100098,IRA
70,B92,64,0.298386,0.484375,0.09375,IRA
71,B92,4096,0.27783,0.496094,0.0249023,IRA
72,B92,1024,0.274908,0.533203,0.0351562,IRA
73,B92,64,0.344394,0.453125,0.078125,IRA
74,B92,4096,0.288025,0.512695,0.0422363,IRA
75,B92,2048,0.269343,0.501953,0.0175781,IRA
76,B92,512,0.276144,0.505859,0.0332031,IRA
77,B92,4096,0.289687,0.503418,0.0429688,IRA
78,B92,2048,0.3066,0.496094,0.0556641,IRA
79,B92,1024,0.311022,0.47168,0.0478516,IRA
80,B92,128,0.251898,0.523438,0.015625,IRA
81,B92,256,0.266127,0.511719,0.0234375,IRA
82,B92,256,0.306724,0.46875,0.0625,IRA
83,B92,128,0.258511,0.554688,0.046875,IRA
84,B92,64,0.26827,0.515625,0.03125,IRA
85,B92,128,0.27575,0.53125,0.015625,IRA
86,B92,4096,0.265075,0.48877,0.00976562,IRA
87,B92,128,0.298842,0.53125,0.0625,IRA
88,B92,1024,0.313131,0.470703,0.0595703,IRA
89,B92,128,0.275552,0.476562,0.0078125,IRA
90,B92,512,0.298616,0.496094,0.0507812,IRA
91,B92,1024,0.292938,0.516602,0.0478516,IRA
92,B92,4096,0.301963,0.505371,0.0603027,IRA
93,B92,256,0.303104,0.507812,0.0429688,IRA
94,B92,128,0.257867,0.578125,0.0859375,IRA
95,B92,4096,0.301172,0.519043,0.0673828,IRA
96,B92,4096,0.257161,0.502197,0.00854492,IRA
97,B92,128,0.341856,0.453125,0.046875,IRA
98,B92,64,0.333209,0.390625,0.015625,IRA
99,B92,256,0.289862,0.507812,0.0820312,IRA
100,B92,256,0.25765,0.5,0.00390625,IRA
101,B92,512,0.229655,0.560547,0.00585938,IRA
102,B92,128,0.324797,0.484375,0.09375,IRA
103,B92,256,0.286053,0.472656,0.015625,IRA
104,B92,4096,0.278288,0.50293,0.0302734,IRA
105,B92,256,0.294465,0.523438,0.0585938,IRA
