id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,B92,512,0.296678,0.482422,0.0351562,IRA
2,B92,64,0.221926,0.578125,0.015625,IRA
3,B92,1024,0.293274,0.498047,0.0410156,IRA
4,B92,1024,0.263278,0.507812,0.0175781,IRA
5,B92,128,0.327463,0.492188,0.0546875,IRA
6,B92,4096,0.316541,0.506836,0.0686035,IRA
7,B92,1024,0.308885,0.501953,0.0488281,IRA
8,B92,128,0.248748,0.53125,0.0234375,IRA
9,B92,128,0.314969,0.492188,0.0625,IRA
10,B92,1024,0.277698,0.472656,0.0117188,IRA
11,B92,4096,0.295007,0.496094,0.048584,IRA
12,B92,256,0.281844,0.5,0.0507812,IRA
13,B92,512,0.312985,0.521484,0.0625,IRA
14,B92,512,0.320022,0.503906,0.0722656,IRA
15,B92,1024,0.322625,0.501953,0.0625,IRA
16,B92,4096,0.322072,0.485596,0.0661621,IRA
17,B92,1024,0.327012,0.494141,0.0742188,IRA
18,B92,2048,0.322912,0.472656,0.0610352,IRA
19,B92,256,0.305821,0.5,0.0273438,IRA
20,B92,64,0.297119,0.453125,0.046875,IRA
21,B92,64,0.279418,0.515625,0.03125,IRA
22,B92,64,0.274437,0.5,0,IRA
23,B92,512,0.273608,0.498047,0.0273438,IRA
24,B92,256,0.274388,0.519531,0.0234375,IRA
25,B92,4096,0.316312,0.495117,0.0646973,IRA
26,B92,64,0.286575,0.484375,0.03125,IRA
27,B92,256,0.262568,0.503906,0.015625,IRA
28,B92,512,0.305321,0.519531,0.0859375,IRA
29,B92,64,0.293061,0.53125,0.046875,IRA
30,B92,128,0.29094,0.460938,0.0078125,IRA
31,B92,4096,0.320558,0.488281,0.065918,IRA
32,B92,2048,0.298308,0.492676,0.0488281,IRA
33,B92,512,0.286663,0.480469,0.0292969,IRA
34,B92,1024,0.303921,0.510742,0.0566406,IRA
35,B92,256,0.26972,0.566406,0.0507812,IRA
36,B92,64,0.283176,0.5625,0.09375,IRA
37,B92,2048,0.279879,0.476562,0.0175781,IRA
38,B92,2048,0.309803,0.50293,0.0683594,IRA
39,B92,128,0.307381,0.46875,0.0625,IRA
40,B92,4096,0.303184,0.496338,0.0559082,IRA
41,B92,1024,0.267441,0.527344,0.0351562,IRA
42,B92,2048,0.25342,0.508301,0.0102539,IRA
43,B92,4096,0.262953,0.498291,0.012207,IRA
44,B92,2048,0.257267,0.505371,0.0107422,IRA
