id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,BB84,2048,0.0654939,0.493652,0.0463867,PNS
2,BB84,256,0.078109,0.46875,0.0703125,PNS
3,BB84,4096,0.0567891,0.494141,0.0400391,PNS
4,BB84,512,0.0816036,0.498047,0.0527344,PNS
5,BB84,1024,0.0896579,0.509766,0.0771484,PNS
6,BB84,1024,0.0721198,0.500977,0.0498047,PNS
7,BB84,256,0.0973127,0.441406,0.0703125,PNS
8,BB84,128,0.0160267,0.546875,0.0078125,PNS
9,BB84,2048,0.0588534,0.484863,0.0473633,PNS
10,BB84,128,0.024534,0.4375,0.0078125,PNS
11,BB84,1024,0.0364336,0.479492,0.0302734,PNS
12,BB84,1024,0.0643378,0.5,0.0478516,PNS
13,BB84,2048,0.088629,0.494629,0.0605469,PNS
14,BB84,64,0.066337,0.46875,0.0625,PNS
15,BB84,4096,0.0316799,0.502441,0.0205078,PNS
16,BB84,256,0.0444139,0.550781,0.03125,PNS
17,BB84,64,0.0657545,0.53125,0.03125,PNS
18,BB84,64,0.0650232,0.671875,0.046875,PNS
19,BB84,64,0.0962329,0.5,0.078125,PNS
20,BB84,512,0.0492034,0.480469,0.0273438,PNS
21,BB84,512,0.053301,0.519531,0.0351562,PNS
22,BB84,2048,0.0851205,0.506836,0.0634766,PNS
23,BB84,256,0.0916529,0.515625,0.078125,PNS
24,BB84,128,0.098813,0.492188,0.101562,PNS
25,BB84,512,0.049659,0.521484,0.0429688,PNS
26,BB84,2048,0.0136649,0.491699,0.0107422,PNS
27,BB84,4096,0.0138495,0.512939,0.00952148,PNS
28,BB84,512,0.0923256,0.53125,0.0644531,PNS
29,BB84,256,0.0859861,0.492188,0.0429688,PNS
30,BB84,1024,0.0634359,0.515625,0.0478516,PNS
31,BB84,1024,0.0148348,0.493164,0.00976562,PNS
32,BB84,2048,0.0859913,0.510254,0.0595703,PNS
33,BB84,4096,0.0903146,0.484131,0.0690918,PNS
34,BB84,512,0.068239,0.486328,0.0546875,PNS
35,BB84,128,0.0312682,0.453125,0.0234375,PNS
36,BB84,128,0.0928861,0.5,0.101562,PNS
37,BB84,64,0.071707,0.515625,0.078125,PNS
38,BB84,256,0.0562985,0.492188,0.0390625,PNS
39,BB84,256,0.0478868,0.449219,0.0390625,PNS
40,BB84,2048,0.082316,0.503418,0.0517578,PNS
41,BB84,512,0.0336002,0.462891,0.015625,PNS
42,BB84,128,0.0785625,0.429688,0.0703125,PNS
43,BB84,64,0.0960681,0.53125,0.078125,PNS
44,BB84,512,0.0301388,0.496094,0.0234375,PNS
45,BB84,128,0.0481416,0.5625,0.046875,PNS
46,BB84,64,0.0391921,0.53125,0.03125,PNS
47,BB84,256,0.0778643,0.445312,0.0585938,PNS
48,BB84,128,0.0126575,0.46875,0,PNS
49,BB84,2048,0.0201788,0.504883,0.0175781,PNS
50,BB84,256,0.0542287,0.433594,0.0664062,PNS
51,BB84,4096,0.0778992,0.516602,0.0524902,PNS
52,BB84,256,0.0730969,0.488281,0.0390625,PNS
53,BB84,256,0.0734619,0.46875,0.0585938,PNS
54,BB84,128,0.0652357,0.492188,0.0703125,PNS
55,BB84,2048,0.0339816,0.492188,0.0268555,PNS
56,BB84,256,0.0220775,0.414062,0.015625,PNS
57,BB84,512,0.0156747,0.546875,0.0253906,PNS
58,BB84,256,0.0632074,0.5,0.0390625,PNS
59,BB84,128,0.0884522,0.523438,0.0625,PNS
60,BB84,128,0.0686678,0.515625,0.046875,PNS
61,BB84,256,0.0570555,0.480469,0.0351562,PNS
62,BB84,4096,0.0402762,0.499512,0.0327148,PNS
