id,protocol,num_bits,bit_error_rate,eve_success_rate_estimate,noise_level,attack_type
1,BB84,2048,0.0958057,0.491211,0.0703125,IRA
2,BB84,64,0.017082,0.46875,0,IRA
3,BB84,4096,0.0954698,0.498291,0.0739746,IRA
4,BB84,512,0.0977038,0.498047,0.0761719,IRA
5,BB84,4096,0.0659466,0.490723,0.048584,IRA
6,BB84,4096,0.0824815,0.481201,0.0625,IRA
7,BB84,64,0.0782269,0.453125,0.078125,IRA
8,BB84,128,0.050147,0.554688,0.0546875,IRA
9,BB84,256,0.071689,0.457031,0.0546875,IRA
10,BB84,128,0.0916568,0.554688,0.0859375,IRA
11,BB84,256,0.0812536,0.546875,0.0703125,IRA
12,BB84,512,0.0284186,0.494141,0.0214844,IRA
13,BB84,1024,0.04131,0.47168,0.0341797,IRA
14,BB84,4096,0.0894736,0.498047,0.0686035,IRA
15,BB84,64,0.0152649,0.40625,0,IRA
16,BB84,256,0.0963121,0.523438,0.0898438,IRA
17,BB84,64,0.0986219,0.46875,0.078125,IRA
18,BB84,1024,0.0742655,0.496094,0.0527344,IRA
19,BB84,256,0.0788329,0.460938,0.0429688,IRA
20,BB84,256,0.0485181,0.445312,0.03125,IRA
21,BB84,512,0.0393144,0.488281,0.0292969,IRA
22,BB84,64,0.0665314,0.546875,0.03125,IRA
23,BB84,2048,0.064441,0.50293,0.0458984,IRA
24,BB84,1024,0.0989817,0.509766,0.078125,IRA
25,BB84,64,0.0313564,0.46875,0.03125,IRA
26,BB84,1024,0.0668227,0.500977,0.0488281,IRA
27,BB84,128,0.0823702,0.609375,0.0625,IRA
28,BB84,64,0.0391382,0.546875,0.046875,IRA
29,BB84,1024,0.045073,0.511719,0.0341797,IRA
30,BB84,64,0.0679069,0.46875,0.078125,IRA
31,BB84,512,0.0868986,0.472656,0.0625,IRA
32,BB84,128,0.086288,0.5625,0.09375,IRA
33,BB84,1024,0.095958,0.484375,0.0693359,IRA
34,BB84,512,0.0242821,0.460938,0.0136719,IRA
35,BB84,1024,0.075538,0.517578,0.0527344,IRA
36,BB84,1024,0.0657081,0.533203,0.0498047,IRA
37,BB84,64,0.0281749,0.546875,0.015625,IRA
38,BB84,2048,0.0243458,0.490234,0.0205078,IRA
39,BB84,2048,0.0568176,0.51123,0.0424805,IRA
40,BB84,2048,0.0987428,0.515625,0.0727539,IRA
41,BB84,512,0.0754844,0.515625,0.0605469,IRA
42,BB84,64,0.0494837,0.59375,0,IRA
43,BB84,512,0.0431223,0.507812,0.0273438,IRA
44,BB84,4096,0.0398937,0.489258,0.027832,IRA
45,BB84,1024,0.0268083,0.503906,0.015625,IRA
46,BB84,64,0.0690939,0.5,0.015625,IRA
47,BB84,256,0.0371442,0.5,0.0117188,IRA
48,BB84,1024,0.06105,0.523438,0.0351562,IRA
49,BB84,2048,0.0832188,0.505859,0.0620117,IRA
50,BB84,1024,0.0879955,0.467773,0.0761719,IRA
51,BB84,256,0.0679451,0.519531,0.046875,IRA
52,BB84,512,0.0481477,0.480469,0.03125,IRA
53,BB84,256,0.0475943,0.429688,0.0195312,IRA
54,BB84,1024,0.0406375,0.527344,0.0322266,IRA
55,BB84,64,0.089664,0.5,0.03125,IRA
56,BB84,64,0.0966792,0.5,0.0625,IRA
57,BB84,64,0.0753824,0.46875,0.0625,IRA
